                           Nonce      #Sol.     Time/s
fcb91e4dd6f7b43fb0a6bac47ecc9b6c          2   1.873974
d94feeacc4b2da0b1de237b1f3219dfa          1   1.515419
dbd0b2b0c291a8e3feebec0381c98b44          5   1.840544
bc3c8e068e4a27506a1ca1530bb6e1e0         14   2.103722
21bf0348c7b9dd707a6df80c0841d4cd          0   1.562491
6f0cf69f0bd3d5c928e6c3a7cdba5b65          3   1.842441
60a29658dd2c243dae850e79d47fe7f7          0   1.442201
bd81d9da005fea1755de199e92490d71          3   1.804216
c0b16c04922f2542ded02a0abb9c60c6          2   1.556877
61d6cab86ae7c5b46a6a74cd57bf7f52          8   2.003638
c3f845b0249a2ca054ab96748fe8d483          7   2.049783
2bc083df381b5e8e54160b8363608a3f          0   1.436904
57bca60d16d75282e6fcf40ddcd5f1b8          0   1.507344
06646e1af84c7d25d3a8d11d27b766e6          3   1.639483
ae1856fc77ca6e095248a7c7b0ac8cfd          2   1.590253
a3b3c49199c531e04c809992893b3caa          0   1.508440
92e6338fcd844bb1fbffb48fbccf7913          8   2.145009
44d6e3037bbaa12f887d28a988d0da76          2   1.639319
09ab9a8763734b9791775061de9336c3          2   1.819983
986c29bc860fa92e0536d36d9217a8e6          1   1.722949
25436dc84772c29455845ef7f01a841a          0   1.518520
cd87e141e283575c66da81cbe5e38538          0   1.552260
df15f9d3f4963afa5e6c5e6088a8625d          3   1.867591
dc2f7333eac2c69bb188f0499df93c3a          2   1.960783
45cf8c4af8152c81fbc750637f337b13          2   2.043377
dd08ddafee86c0d940b0a3b0e10bb950          5   2.278961
60f830e7b6593eee9c1fb42d93e19447          0   1.712989
3e50dfc90a1e4596224e5fedf1c3040e          0   2.009167
3bfa0f64db95b273b94f7bbd9b5be065         11   2.600457
1cd110da7721c64975ab77f2d907fea3          0   2.177597
0d5c135b1876dfda30d50ef4abd222e9          1   2.075775
87e5968d1729fed63f28b81af960cb29          5   2.247785
067b717b10ff568ab55b37d790f910e8          0   1.722471
6582589a9f222bf395a1fd1ffaec5196          5   2.162915
411ff1621542640954d4fb31441d4fea          2   2.207139
b47055c6d5d0ac60cb301a35c33d643f          1   1.727598
2a226f9802186c190d24284a3ea4ce3c          6   1.692221
aa41cec6d9de2a2b8f0e3c1a2b35e897          0   1.811095
ba92502c7befc7972645869cf6810dcd          0   1.764812
6c5d4036d8839d850ca80912db7732a7          3   1.906174
c5d8050ce7f3f2147bb7f8266c369866          1   1.643127
6c2e4248399a896a8cca5839fd4a856b          3   1.993693
f4c81872a6d81931e05d2e80a0d5dc42          1   1.976131
c1531d02d8dd8550dd2dd79db7435f90          3   1.934531
2d9670d280ef1aff106dea0befae6df0         10   2.118959
14ae880fe901ff536b651ddf6ff2298d          1   1.515286
7009fd5fc95af6c96c6eae29e86a9396          5   2.007712
b1b34e4cf42b0647e8f18c9057f96e6c          3   1.843588
a7201c83c4a86d7ee9554e8f0471f2d6          6   2.179386
56ddcd3940a4690e60528ec64fea6c14          1   1.637537
318be42faec058eb3f980c9a3b2d26b6          0   1.575396
20e28bbb1576d9432b051a61bd12ded6          4   1.910173
934d2bcc7f3e5a278892e79b770a71d9          2   1.638292
ff180356bcd7e08562801ccc5d3a3d63          1   1.684328
a626cc0eb7dd6b555b0233de9e921868          0   1.550815
f49e5d54467ca737ea0fe0c7898dcaec          0   1.675693
8173b4fa82ce48191c7e580f79dc8d62          2   1.576961
c495cc1b50f2785ea393867a18287ec9          3   1.707290
4e24602f9e0658383de50f6cd7b00ed6          4   1.920504
3f1ac7730fdb2544929ee8b04a19fc3f          0   1.559558
70b14904b605858367f430369688ba58          1   1.589961
492c1c3801717c7ba571a820be4d49fc          0   1.445807
7da4afc4ab23237cc84e6d8ec450a996          0   1.608031
50d2b3e4cba52031232b059e8e696d6b         26   2.540172
61fa0c1b3697df324af7e1913c5c6e10          2   1.554695
8835572e04c4de33885f560b88ebf18c          2   1.698879
cf9bf4b60ed70c955ecf871e716b2708          1   1.899674
53fe4a07353670d64f0ad48b149c822b          8   1.991219
212af058da5c18b61a475ba6ab3e314c          2   1.929549
2b1d78228014bef3aa6396f52a9a31b0          1   1.751420
542d01db2ec01595ca5888fa72b04829          3   1.534705
